name,grade,absences,status
alex,90,0,Passing
james,30,15,At Risk
ben,75,4,Passing
michelle,90,1,Passing
rochelle,50,10,At Risk
michael,100,0,Excellent
john,100,0,Excellent
ivan,80,4,Passing
jimmy,40,13,At Risk
greg,40,13,At Risk
charlie,60,6,Needs Improvement
shawn,60,9,Needs Improvement
billy,20,14,At Risk
luna,100,0,Excellent
oliver,85,2,Passing
sophia,95,0,Passing
liam,70,3,Passing
emma,88,3,Passing
noah,65,7,Needs Improvement
ava,92,0,Passing
elijah,78,4,Passing
isabella,82,2,Passing
lucas,55,11,At Risk
mia,96,0,Passing
mason,45,12,At Risk
harper,89,4,Passing
ethan,73,2,Passing
amelia,91,1,Passing
logan,68,7,Needs Improvement
abigail,84,2,Passing
logan_jr,77,4,Passing
emily,93,0,Passing
jackson,62,6,Needs Improvement
elizabeth,87,5,Passing
aiden,58,15,At Risk
mila,94,2,Passing
grayson,71,3,Passing
ella,86,2,Passing
colin,64,8,Needs Improvement
avery,90,0,Passing
leo,79,2,Passing
sofia,83,3,Passing
asher,67,6,Needs Improvement
camila,98,2,Passing
arthur,74,3,Passing
aria,81,4,Passing
carl,59,11,At Risk
scarlett,95,1,Passing
caleb,76,3,Passing
victoria,88,2,Passing
carter,63,9,Needs Improvement
madison,92,1,Passing
nathaniel,72,5,Passing
luna_b,85,4,Passing
gabriel,69,7,Needs Improvement
grace,97,2,Passing
bryan,56,10,At Risk
chloe,84,2,Passing
wyatt,75,2,Passing
penelope,91,0,Passing
jayden,61,7,Needs Improvement
layla,89,3,Passing
gabriel_jr,70,4,Passing
riley,93,0,Passing
owen,66,6,Needs Improvement
zoey,82,3,Passing
isaac,78,2,Passing
nora,94,2,Passing
julian,60,6,Needs Improvement
lily,87,5,Passing
aaron,53,13,At Risk
eleanor,96,0,Passing
cameron,74,2,Passing
hannah,81,4,Passing
ezra,65,8,Needs Improvement
lillian,90,1,Passing
thomas,79,4,Passing
addison,88,2,Passing
lincoln,67,7,Needs Improvement
aubrey,92,0,Passing
nolan,58,14,At Risk
ellie,84,4,Passing
mateo,71,3,Passing
stella,95,0,Passing
connor,62,7,Needs Improvement
natalie,86,3,Passing
eli,76,4,Passing
zoe,91,1,Passing
asher_jr,54,14,At Risk
leah,83,3,Passing
jeremiah,69,6,Needs Improvement
hazel,89,4,Passing
joshua,73,4,Passing
violet,94,1,Passing
harrison,64,8,Needs Improvement
aurora,87,3,Passing
landon,77,3,Passing
savannah,92,0,Passing
jonathan,61,6,Needs Improvement
